"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2022","111.43","111.43","111.43","111.43","","-0.27%"
"03/21/2022","111.73","111.73","111.73","111.73","","2.52%"
"03/18/2022","108.99","108.99","108.99","108.99","","0.19%"
"03/17/2022","108.78","108.78","108.78","108.78","","3.71%"
"03/16/2022","104.89","104.89","104.89","104.89","","-0.83%"
"03/15/2022","105.76","105.76","105.76","105.76","","-3.13%"
"03/14/2022","109.18","109.18","109.18","109.18","","-3.03%"
"03/11/2022","112.59","112.59","112.59","112.59","","2.17%"
"03/10/2022","110.20","110.20","110.20","110.20","","-0.59%"
"03/09/2022","110.86","110.86","110.86","110.86","","-9.53%"
"03/08/2022","122.53","122.53","122.53","122.53","","3.68%"
"03/07/2022","118.18","118.18","118.18","118.18","","2.81%"
"03/04/2022","114.95","114.95","114.95","114.95","","7.86%"
"03/03/2022","106.58","106.58","106.58","106.58","","-2.58%"
"03/02/2022","109.40","109.40","109.40","109.40","","7.25%"
"03/01/2022","102.00","102.00","102.00","102.00","","10.47%"
"02/28/2022","92.34","92.34","92.34","92.34","","0.45%"
"02/25/2022","91.93","91.93","91.93","91.93","","-0.16%"
"02/24/2022","92.07","92.07","92.07","92.07","","0.40%"
"02/23/2022","91.70","91.70","91.70","91.70","","-0.15%"
"02/22/2022","91.84","91.84","91.84","91.84","","1.04%"
"02/18/2022","90.90","90.90","90.90","90.90","","0.25%"
"02/17/2022","90.67","90.67","90.67","90.67","","-0.97%"
"02/16/2022","91.56","91.56","91.56","91.56","","0.77%"
"02/15/2022","90.86","90.86","90.86","90.86","","-1.89%"
"02/14/2022","92.61","92.61","92.61","92.61","","0.89%"
"02/11/2022","91.79","91.79","91.79","91.79","","2.08%"
"02/10/2022","89.92","89.92","89.92","89.92","","0.04%"
"02/09/2022","89.88","89.88","89.88","89.88","","0.67%"
"02/08/2022","89.28","89.28","89.28","89.28","","-1.63%"
"02/07/2022","90.76","90.76","90.76","90.76","","-0.33%"
"02/04/2022","91.06","91.06","91.06","91.06","","2.13%"
"02/03/2022","89.16","89.16","89.16","89.16","","1.58%"
"02/02/2022","87.77","87.77","87.77","87.77","","0.40%"
"02/01/2022","87.42","87.42","87.42","87.42","","4.76%"
"01/31/2022","83.45","83.45","83.45","83.45","","0.11%"
"01/28/2022","83.36","83.36","83.36","83.36","","0.04%"
"01/27/2022","83.33","83.33","83.33","83.33","","-0.07%"
"01/26/2022","83.39","83.39","83.39","83.39","","0.22%"
"01/25/2022","83.21","83.21","83.21","83.21","","0.41%"
"01/24/2022","82.87","82.87","82.87","82.87","","-0.50%"
"01/21/2022","83.29","83.29","83.29","83.29","","-0.25%"
"01/20/2022","83.50","83.50","83.50","83.50","","-0.07%"
"01/19/2022","83.56","83.56","83.56","83.56","","0.41%"
"01/18/2022","83.22","83.22","83.22","83.22","","1.15%"
"01/14/2022","82.27","82.27","82.27","82.27","","1.19%"
"01/13/2022","81.30","81.30","81.30","81.30","","-0.05%"
"01/12/2022","81.34","81.34","81.34","81.34","","0.68%"
"01/11/2022","80.79","80.79","80.79","80.79","","2.41%"
"01/10/2022","78.89","78.89","78.89","78.89","","-0.80%"
"01/07/2022","79.53","79.53","79.53","79.53","","-0.20%"
"01/06/2022","79.69","79.69","79.69","79.69","","1.12%"
"01/05/2022","78.81","78.81","78.81","78.81","","1.00%"
"01/04/2022","78.03","78.03","78.03","78.03","","1.30%"
"01/03/2022","77.03","77.03","77.03","77.03","","5.25%"
"12/31/2021","73.19","73.19","73.19","73.19","","-0.01%"
"12/30/2021","73.20","73.20","73.20","73.20","","-0.01%"
"12/29/2021","73.21","73.21","73.21","73.21","","0.06%"
"12/28/2021","73.16","73.16","73.16","73.16","","-0.05%"
"12/27/2021","73.20","73.20","73.20","73.20","","0.29%"
"12/23/2021","72.99","72.99","72.99","72.99","","0.39%"
"12/22/2021","72.71","72.71","72.71","72.71","","0.39%"
"12/21/2021","72.42","72.42","72.42","72.42","","1.07%"
"12/20/2021","71.65","71.66","71.66","71.66","","-1.07%"
"12/17/2021","72.43","72.43","72.43","72.43","","-0.81%"
"12/16/2021","73.02","73.02","73.02","73.02","","0.88%"
"12/15/2021","72.38","72.38","72.38","72.38","","0.22%"
"12/14/2021","72.22","72.22","72.22","72.22","","-0.67%"
"12/13/2021","72.71","72.71","72.71","72.71","","-0.66%"
"12/10/2021","73.19","73.19","73.19","73.19","","0.65%"
"12/09/2021","72.72","72.72","72.72","72.72","","-1.32%"
"12/08/2021","73.69","73.69","73.69","73.69","","0.21%"
"12/07/2021","73.54","73.54","73.54","73.54","","2.64%"
"12/06/2021","71.65","71.65","71.65","71.65","","3.98%"
"12/03/2021","68.91","68.91","68.91","68.91","","0.43%"
"12/02/2021","68.62","68.62","68.62","68.62","","1.30%"
"12/01/2021","67.73","67.73","67.73","67.73","","-15.62%"
